n	E	N	huitante	octante	quatre-vingts	cougner	biquer	courber	gatter	sécher	schwentzer	Un.traclet	Un.regio	Un.RER	Un.omnibus	Le.dur	Le maire	Le président	Le syndic	ruper	casser.la.croûte	manger.un.morceau	grailler	luncher	bouffer	Des.grolles	Des.godasses	Des.tricounis	Des.souliers	Des.godillots	Des.pompes	Tschüss	Adieu	Adjeu	Tout.de.bon	Tchô	Tchô.bonne	Ciao	pougner	frouiller	mascogner	copier	X.s.chinder	astiquer	poutzer	faire.les.à.fonds	faire.le.ménage	réduire	Une.torrée	Une.brisolée	Un.pique.nique	Une.canette	Une.chope	Une.cinq	Une.grande.bière	Une.pinte	Un.lycée	Un.collège	Un.gymnase	Une.braillée	Une.beuglée	Une.bramée	Une.bouellée	Piosser	Niaucher.Niauquer	Chouiner.Wouiner	Piomer	Chialer	Piauner	Grincher	Une.cramine	Une.fricasse	Un.cru	La.rebuse	Le.régent	Le.prof	Le.raitet	L.enseignant	Le.maître	Baboler	Barjaquer	Batoiller	Baidger	Causer	Elle.beutche	Elle.flambe	Elle.crame	Elle.chupie	Des.planelles	Des.catelles	Des.carrons	Je.ne.pouvais.plus.dire.papet	Je.me.suis.foutu.une.mine	J.étais.sur.Soleure	Je.me.suis.mis.sur.le.toit	Je.me.suis.ramassé.une.chiée.une.cuite	Je.me.suis.pris.une.tuée	Je.me.voyais.plus.les.mains	Papi.et.mami	Papa.et.maman	Père.et.mère	Le..vatr..et.la..mutr.	Le..pater..et.la.mère	Le.père.et.la.mère	Le.croûtion	Le.crotchon	Le.croûton	Le.trognon	Une.tétine	Une.lolette	Un.nouki	Une.raclée	Une.tapée	Une.chiée	Une.pétée	Une.peufnée	Une..é.péclée	Une.brontsée	Une.masse	Une.craquée	Un.matson	Une.bricole	Un.chouia	Une.tchette	Une.bedoume	Un.bobet	Un.boeuf	Un.niolu	Un.tocson	Un.topiot	Un.toyet	Un.dadet	J.arrive.incessamment.sous.peu	J.arrive.immédiatement	J.arrive.tout.soudain	J.arrive.dans.5	J.arrive	Gniaffer	Gifler	Baffer	Un.cheni	Un.commerce	Des.babioles	Un.petchi	Blètse	Biètse	Plètse	Tacon	De.la.réclame	Des.prospectus	De.la.publicité	De.la.pub	Des.tous.ménages	Foutimasser	Pétouiller	Faratzer	Glander	Baster	Bâcher	Capion	Sarcloir	Piochette	Piochard	Longeole	Boule.de.Bâle	Cervelas	Boutefas	Schublig	Wienerli	Un.dicastère	Un.département	Une.section	Un.ministère	Une.direction	Le.téléjournal	Le.TJ	Le.journal.télévisé	Le.JT	Les.nouvelles	Les.news	Les.infos
Arconciel	16	576	177	16	0	0	0	0	3	0	8	10	1	16	2	0	0	0	0	16	8	3	6	8	1	6	4	13	1	8	2	6	4	3	7	0	8	8	5	15	0	0	5	0	2	16	1	7	2	0	0	16	13	3	0	3	5	0	14	2	9	3	1	14	0	10	3	0	15	0	0	15	6	1	0	1	12	0	4	11	0	5	15	0	5	0	2	16	4	0	16	0	1	11	1	9	10	1	10	6	10	1	0	0	3	1	6	3	9	1	15	2	2	0	13	11	0	4	1	3	9	0	6	14	6	2	12	0	7	1	2	13	6	4	1	2	8	10	0	13	11	12	6	3	8	7	0	0	11	6	7	4	14	10	2	3	0	15	4	10	0	6	5	2	0	0	14	1	5	9	9	2	3	1	2	6	4	2	3	10	2	4
Ardon	21	586	118	20	0	1	0	0	8	0	20	0	0	20	0	3	0	0	21	0	6	4	11	8	0	15	5	15	0	12	2	6	1	0	12	3	9	11	9	18	0	0	10	1	5	20	4	14	1	3	3	18	0	21	0	2	1	1	21	2	17	13	1	3	1	1	11	0	19	2	0	9	18	0	0	1	20	0	6	8	0	13	8	0	12	0	9	21	0	1	21	0	0	14	1	7	11	16	11	5	15	1	0	1	4	0	20	2	3	7	17	1	2	0	19	16	0	1	0	4	5	0	14	20	0	7	18	0	5	12	2	1	13	6	1	7	12	11	0	18	14	18	3	4	6	5	0	0	19	12	4	3	19	5	0	5	0	20	14	7	14	2	5	3	0	0	16	0	3	2	6	8	5	0	2	13	4	0	4	9	1	6
Arnex-sur-Orbe	4	530	172	4	0	0	0	0	4	0	2	0	1	2	1	1	0	0	0	4	3	2	4	3	0	3	4	4	0	2	1	4	3	2	1	3	4	1	3	3	2	0	2	0	2	4	1	4	1	0	0	4	0	4	0	0	1	0	1	4	3	1	1	3	0	1	2	0	4	1	0	3	1	2	0	0	4	0	1	1	0	2	4	0	4	0	3	4	0	2	4	0	0	3	2	1	3	0	2	0	4	0	0	0	1	0	3	0	2	0	4	1	0	2	4	4	0	1	0	1	2	0	3	4	0	3	4	0	3	0	4	3	2	1	0	3	2	0	1	4	4	4	0	0	3	1	3	0	1	1	1	0	4	1	3	1	0	3	2	3	0	3	1	0	0	0	4	0	4	3	1	3	0	0	0	2	1	0	2	2	1	1
Arzier-Le Muids	2	505	146	2	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	2	0	1	1	1	0	2	1	2	0	2	1	2	0	2	0	1	2	0	1	1	0	0	2	0	1	1	0	1	1	0	0	2	1	2	0	0	1	0	0	2	2	1	0	1	0	0	1	0	2	1	0	2	1	1	0	0	2	0	0	1	0	0	2	0	2	0	2	2	0	0	2	0	0	1	0	1	1	1	2	0	2	0	0	0	1	0	2	0	0	1	2	1	0	2	2	2	0	2	0	1	1	0	1	2	0	0	2	0	0	0	2	2	2	1	0	1	1	1	0	2	2	1	2	2	0	2	0	0	0	1	1	1	2	2	0	0	0	2	1	2	0	2	0	0	0	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	0	2
Assens	18	537	163	18	0	0	0	0	17	0	7	0	5	8	1	1	4	0	0	18	13	11	12	8	3	11	9	14	1	9	5	11	5	12	3	5	14	12	5	15	5	0	12	3	9	17	11	12	3	0	2	17	0	17	0	3	1	0	2	17	13	7	1	11	0	3	7	0	18	0	1	17	6	2	0	6	14	0	3	4	0	10	17	0	12	0	7	17	0	2	17	0	3	10	4	5	11	6	12	0	13	1	0	0	7	0	18	0	3	2	18	0	2	7	15	14	0	7	0	3	8	0	12	15	0	12	18	0	7	0	14	13	12	5	2	6	14	5	1	13	14	16	4	2	11	3	4	0	16	10	6	4	12	6	9	8	0	10	7	13	2	7	4	3	0	0	12	9	9	2	8	4	4	1	1	14	7	0	4	9	0	4
Attalens	27	555	151	27	0	0	0	0	13	0	21	1	2	19	5	5	0	0	0	27	18	7	17	11	0	21	6	23	2	15	6	15	8	7	10	4	19	17	8	23	2	0	9	2	4	26	7	18	2	0	0	27	7	23	0	2	2	0	18	14	15	4	0	22	0	20	8	0	23	4	2	25	11	4	0	4	24	0	8	8	0	6	21	0	18	0	11	25	5	2	26	0	2	16	1	12	14	5	22	2	22	2	0	0	5	0	23	3	3	2	27	0	2	2	26	22	0	8	0	2	18	0	11	24	8	13	26	0	7	0	9	16	9	5	0	9	20	9	1	21	20	25	8	2	9	12	0	0	21	12	4	3	23	7	5	9	0	23	10	16	0	13	10	1	0	0	27	0	9	9	12	7	4	0	4	17	8	0	2	9	1	8
Aubonne	25	520	150	23	0	2	0	0	20	0	18	0	6	19	1	6	2	1	0	24	14	12	15	17	2	15	13	20	0	11	2	13	6	12	5	6	19	11	14	22	3	0	6	1	11	23	7	18	1	0	2	24	5	20	1	7	4	0	2	24	21	11	1	15	0	1	12	1	24	1	2	21	9	2	0	3	22	0	8	9	1	8	20	0	17	0	14	24	0	3	25	0	2	19	3	8	17	4	13	2	20	2	0	0	6	0	23	3	3	5	25	0	1	11	18	20	0	11	0	6	11	0	14	23	0	15	22	0	11	0	13	12	15	11	0	14	14	14	2	23	22	25	8	4	13	16	0	2	11	12	7	8	19	12	12	3	0	19	12	13	1	16	6	1	0	0	21	6	5	4	8	4	5	0	4	19	10	3	6	13	0	11
Autafond	1	572	185	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Autigny	15	568	176	15	0	0	0	0	7	0	10	7	0	14	0	2	0	0	0	15	13	2	10	7	1	11	1	12	0	9	2	6	7	2	5	3	11	5	7	14	0	0	6	0	0	15	3	7	2	0	2	14	15	3	0	0	0	0	14	3	12	1	0	8	0	14	4	0	15	5	1	15	4	0	0	5	13	0	3	8	0	3	14	0	9	0	6	15	6	1	15	0	1	9	2	5	11	3	9	1	15	0	0	0	2	4	6	3	3	2	15	0	0	1	15	12	0	2	0	3	9	0	4	12	9	3	14	0	6	0	2	13	6	4	2	3	6	10	2	13	10	13	7	3	4	11	0	0	10	11	3	4	14	8	1	6	0	14	6	7	0	7	6	1	0	0	14	0	6	9	7	4	1	0	3	12	3	0	2	11	1	6
Avenches	43	570	192	40	0	2	0	0	20	1	32	4	3	33	6	7	1	1	0	42	31	15	16	15	1	24	17	38	0	20	16	20	10	13	12	10	24	16	17	39	4	1	14	5	11	41	10	20	4	1	2	41	26	28	0	8	2	0	11	36	35	9	3	27	0	21	15	1	42	4	0	37	8	7	0	8	37	0	11	11	0	18	37	0	29	0	13	41	1	3	43	0	4	34	6	12	21	8	24	5	30	4	0	0	11	1	29	5	14	4	41	8	3	11	39	35	0	8	0	9	21	0	19	38	1	22	39	0	13	0	21	27	21	8	2	13	31	9	1	25	36	37	18	3	15	17	1	0	31	32	9	10	31	15	19	10	0	35	17	27	0	19	15	3	0	3	40	4	9	22	22	11	5	1	7	32	9	5	6	15	1	8
