n	E	N	huitante	octante	quatre-vingts	cougner	biquer	courber	gatter	sécher	schwentzer	Un.traclet	Un.regio	Un.RER	Un.omnibus	Le.dur	Le maire	Le président	Le syndic	ruper	casser.la.croûte	manger.un.morceau	grailler	luncher	bouffer	Des.grolles	Des.godasses	Des.tricounis	Des.souliers	Des.godillots	Des.pompes	Tschüss	Adieu	Adjeu	Tout.de.bon	Tchô	Tchô.bonne	Ciao	pougner	frouiller	mascogner	copier	X.s.chinder	astiquer	poutzer	faire.les.à.fonds	faire.le.ménage	réduire	Une.torrée	Une.brisolée	Un.pique.nique	Une.canette	Une.chope	Une.cinq	Une.grande.bière	Une.pinte	Un.lycée	Un.collège	Un.gymnase	Une.braillée	Une.beuglée	Une.bramée	Une.bouellée	Piosser	Niaucher.Niauquer	Chouiner.Wouiner	Piomer	Chialer	Piauner	Grincher	Une.cramine	Une.fricasse	Un.cru	La.rebuse	Le.régent	Le.prof	Le.raitet	L.enseignant	Le.maître	Baboler	Barjaquer	Batoiller	Baidger	Causer	Elle.beutche	Elle.flambe	Elle.crame	Elle.chupie	Des.planelles	Des.catelles	Des.carrons	Je.ne.pouvais.plus.dire.papet	Je.me.suis.foutu.une.mine	J.étais.sur.Soleure	Je.me.suis.mis.sur.le.toit	Je.me.suis.ramassé.une.chiée.une.cuite	Je.me.suis.pris.une.tuée	Je.me.voyais.plus.les.mains	Papi.et.mami	Papa.et.maman	Père.et.mère	Le..vatr..et.la..mutr.	Le..pater..et.la.mère	Le.père.et.la.mère	Le.croûtion	Le.crotchon	Le.croûton	Le.trognon	Une.tétine	Une.lolette	Un.nouki	Une.raclée	Une.tapée	Une.chiée	Une.pétée	Une.peufnée	Une..é.péclée	Une.brontsée	Une.masse	Une.craquée	Un.matson	Une.bricole	Un.chouia	Une.tchette	Une.bedoume	Un.bobet	Un.boeuf	Un.niolu	Un.tocson	Un.topiot	Un.toyet	Un.dadet	J.arrive.incessamment.sous.peu	J.arrive.immédiatement	J.arrive.tout.soudain	J.arrive.dans.5	J.arrive	Gniaffer	Gifler	Baffer	Un.cheni	Un.commerce	Des.babioles	Un.petchi	Blètse	Biètse	Plètse	Tacon	De.la.réclame	Des.prospectus	De.la.publicité	De.la.pub	Des.tous.ménages	Foutimasser	Pétouiller	Faratzer	Glander	Baster	Bâcher	Capion	Sarcloir	Piochette	Piochard	Longeole	Boule.de.Bâle	Cervelas	Boutefas	Schublig	Wienerli	Un.dicastère	Un.département	Une.section	Un.ministère	Une.direction	Le.téléjournal	Le.TJ	Le.journal.télévisé	Le.JT	Les.nouvelles	Les.news	Les.infos
Coppet	18	504	130	12	0	6	0	0	10	3	16	0	2	13	3	9	0	3	0	15	7	10	10	11	2	14	7	14	0	9	3	10	5	5	1	5	11	4	10	11	2	4	9	2	5	16	6	12	1	0	0	18	9	12	0	5	1	0	7	13	12	12	1	6	0	1	9	0	18	2	1	8	10	8	0	2	18	0	7	7	1	9	7	0	14	0	13	17	0	3	18	1	1	11	2	7	11	6	11	1	15	1	0	0	2	0	13	6	5	4	16	3	0	6	18	17	0	2	0	5	9	0	7	18	0	7	14	3	5	0	6	6	10	7	2	5	8	13	0	15	14	17	5	4	5	10	1	1	7	8	9	8	16	6	6	4	0	16	9	9	1	8	7	1	1	0	17	2	3	4	7	4	6	1	4	13	7	4	1	10	2	7
Corban	6	603	244	0	0	6	0	5	0	0	3	0	0	5	0	2	0	6	0	0	1	3	5	1	0	3	3	5	0	3	0	3	4	3	1	1	2	0	3	1	0	0	0	6	0	6	0	3	0	0	0	6	0	4	3	1	0	6	0	0	4	1	0	5	0	0	0	0	6	0	0	1	6	0	0	0	5	4	2	4	0	5	0	1	4	6	3	5	0	6	0	0	1	5	1	2	5	3	5	1	3	0	0	0	2	0	1	4	2	0	4	2	0	3	5	5	5	0	0	0	1	0	0	6	0	0	5	0	2	0	0	0	2	2	0	0	2	3	5	3	2	5	1	1	0	0	0	4	4	4	0	0	5	3	0	1	0	6	1	5	0	3	3	0	0	0	5	0	1	3	2	2	2	0	1	3	2	0	0	4	0	2
Corbeyrier	1	563	133	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
Corbières	4	574	168	4	0	0	0	0	3	0	3	0	0	0	4	0	0	0	0	4	2	1	2	1	1	2	0	3	0	0	0	3	0	2	1	0	1	1	2	3	0	0	3	0	0	4	1	2	0	0	0	4	2	2	0	1	0	0	4	1	4	2	0	1	0	3	1	0	3	1	0	4	1	0	0	1	3	0	2	3	0	1	4	0	2	0	2	4	1	0	3	0	0	1	0	0	3	0	2	0	4	0	0	0	0	0	1	0	2	0	3	0	0	2	4	3	0	1	0	0	2	0	1	3	0	2	4	0	2	0	2	2	1	0	0	1	1	2	0	3	4	4	1	0	1	0	0	0	4	3	2	2	4	2	0	1	0	3	2	2	0	2	0	0	0	0	3	0	0	1	2	0	0	0	0	3	1	0	1	2	0	0
Corcelles (BE)	1	602	237	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Corcelles-Cormondrèche	12	557	204	0	0	12	0	0	7	0	10	0	0	8	2	2	0	0	7	5	2	7	9	0	0	7	7	11	0	7	2	8	4	5	0	2	8	4	6	12	0	0	6	0	3	10	3	8	0	10	0	7	0	10	0	7	2	9	0	3	11	4	0	5	0	0	3	0	12	1	2	6	10	0	0	0	11	0	4	4	0	2	0	0	11	1	6	12	0	0	12	0	0	9	1	1	8	2	3	1	10	1	0	0	2	1	4	5	3	1	12	1	0	2	11	9	0	0	0	0	6	0	4	11	0	3	11	2	3	1	1	1	7	3	0	0	10	4	0	9	10	11	2	1	3	5	0	1	10	3	5	3	11	3	1	9	0	8	2	8	0	5	5	0	0	1	10	0	0	7	3	0	2	1	6	8	6	1	0	3	1	3
Corcelles-le-Jorat	2	547	162	2	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	2	1	2	1	0	0	0	1	2	1	1	0	2	1	1	0	1	1	1	0	1	1	0	2	0	0	2	1	2	0	0	0	2	0	2	0	0	0	0	0	2	2	1	0	2	0	2	0	0	2	0	0	2	1	0	0	0	2	0	0	1	0	2	2	0	1	0	0	2	0	0	2	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	2	0	0	1	1	1	0	1	0	0	2	0	2	2	0	2	1	0	1	0	2	2	0	0	0	1	2	1	0	2	1	2	1	0	0	0	1	0	1	1	1	0	2	1	2	0	0	0	2	0	0	2	0	0	0	0	2	0	1	0	1	0	1	0	0	1	2	0	0	2	0	1
Corcelles-près-Concise	2	544	189	2	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	2	2	2	2	0	0	2	1	2	0	2	1	2	0	2	0	1	0	0	2	1	0	0	2	0	1	2	2	2	0	2	0	2	0	1	1	0	2	0	0	2	2	1	0	1	0	1	2	0	2	0	1	1	1	1	0	0	2	0	2	1	0	1	2	0	2	0	2	2	0	1	2	0	0	2	1	0	2	1	2	0	2	0	0	0	1	0	2	2	0	0	2	0	0	1	2	2	1	1	0	0	1	0	2	2	0	1	2	0	1	0	1	2	2	1	0	0	2	1	0	2	2	2	2	2	1	1	0	0	2	2	1	0	2	2	1	1	0	2	1	2	0	0	2	0	0	0	2	0	0	0	1	0	1	0	1	0	1	1	0	2	0	2
Corcelles-près-Payerne	11	564	187	11	0	0	0	0	7	0	9	0	0	11	1	1	0	0	0	11	10	1	4	3	0	8	2	9	0	4	2	4	2	5	3	1	7	5	2	9	0	0	3	0	1	11	4	4	1	1	2	9	1	10	0	2	3	0	2	9	9	4	0	6	0	10	4	0	10	2	1	9	4	1	0	1	11	0	3	3	0	4	11	0	9	0	6	11	0	2	11	0	0	8	2	4	6	2	8	1	8	0	0	0	4	0	9	1	3	1	11	0	2	2	10	9	0	3	0	1	6	0	8	9	1	7	10	0	3	0	5	8	7	1	0	2	7	4	0	8	7	10	3	5	4	2	0	0	10	9	1	3	8	3	2	4	0	11	1	8	0	5	2	3	0	0	8	2	1	5	7	3	1	0	0	8	2	0	1	6	0	3
Corcelles-sur-Chavornay	1	536	173	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Corgémont	19	577	227	0	0	19	0	0	0	0	17	7	0	17	0	4	0	18	0	1	4	7	11	3	1	11	4	16	0	8	2	4	11	5	0	2	11	3	11	6	0	0	3	18	2	18	2	8	0	3	0	17	0	13	1	12	6	1	0	18	16	6	0	9	0	1	10	0	18	2	1	5	17	1	0	0	18	1	6	6	0	9	1	0	17	14	6	16	0	4	18	0	0	17	2	2	14	2	9	2	14	1	0	0	4	1	5	9	8	2	14	13	1	5	17	13	7	1	0	2	9	0	1	18	0	0	19	8	4	1	0	0	5	7	1	1	13	9	8	10	13	14	5	4	4	1	0	12	10	9	8	6	15	4	1	7	0	17	3	14	0	7	9	2	0	0	17	0	1	14	8	8	1	1	2	11	4	3	8	8	2	6
Corminboeuf	17	574	184	17	0	0	0	0	8	0	15	12	1	16	2	1	0	0	0	17	9	6	11	8	1	10	3	15	0	12	3	7	8	2	7	2	6	6	12	17	0	0	3	1	5	17	0	9	0	1	2	16	14	5	0	1	0	0	16	3	14	7	2	10	0	11	6	0	16	2	1	13	8	2	0	1	14	0	5	8	1	6	13	0	10	1	8	16	5	1	17	0	0	10	1	6	14	4	8	2	14	2	0	0	0	2	5	6	6	1	16	3	0	3	16	12	0	1	0	3	10	0	4	17	5	3	16	0	9	0	5	12	8	4	1	5	9	10	0	14	11	16	2	6	7	10	0	1	11	5	6	3	12	7	3	7	0	16	5	13	0	11	5	0	0	1	14	0	5	9	7	4	5	1	5	9	5	0	5	10	0	7
Cormoret	6	571	225	0	0	6	0	0	1	0	4	2	0	3	0	4	0	6	0	0	0	2	4	1	0	4	2	5	0	3	0	3	3	0	0	1	5	2	0	2	0	0	0	6	2	6	0	3	0	2	0	6	0	4	0	3	2	2	0	5	4	3	0	3	0	0	2	0	6	0	0	2	3	2	0	0	5	0	2	4	0	2	0	0	5	3	1	5	0	0	6	0	0	3	1	0	5	0	1	1	4	0	0	0	2	0	1	3	3	2	5	1	0	3	4	5	2	0	0	0	1	0	1	6	0	1	5	2	1	0	0	0	3	1	0	0	6	3	0	4	6	3	3	2	2	1	0	1	3	4	2	3	4	4	0	3	0	5	1	5	0	3	3	0	0	0	4	0	1	2	1	4	2	0	0	4	1	0	3	3	1	3
Cornol	4	579	251	0	0	4	0	1	0	0	3	1	0	3	0	1	0	4	0	0	0	4	4	1	0	3	1	4	0	3	1	3	2	2	0	0	1	1	4	1	0	0	2	3	0	4	2	4	0	0	0	4	1	4	2	3	1	4	0	0	2	2	0	2	0	0	3	0	4	1	0	1	4	1	0	0	4	1	3	1	0	3	0	3	4	4	2	4	0	3	2	0	1	3	0	2	4	1	4	1	3	0	0	0	1	0	1	4	1	0	4	1	0	2	4	3	2	0	0	2	2	0	1	4	0	1	4	1	3	1	0	0	3	2	0	0	1	3	3	4	4	4	1	1	3	0	0	2	2	2	1	2	3	2	0	0	0	4	0	4	0	3	1	0	0	0	4	0	0	2	2	1	1	0	0	4	2	0	1	3	0	2
Corpataux-Magnedens	2	574	177	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	2	2	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	2	1	0	2	1	0	0	1	2	0	1	0	0	1	2	0	0	0	0	2	2	1	2	0	0	2	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	2	2	0	1	0	0	2	0	1	2	1	0	2	0	1	0	0	2	0	1	0	0	2	1	0	2	1	2	0	0	1	0	0	0	2	1	1	2	2	1	0	1	0	2	0	2	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
Corseaux	16	553	147	15	0	1	0	0	15	0	8	0	0	11	1	11	0	0	0	16	7	4	11	2	3	8	6	12	0	7	3	11	2	3	3	2	12	5	7	14	1	0	7	2	4	14	4	11	0	0	0	16	0	16	0	3	2	0	0	16	12	8	3	9	0	1	6	0	15	1	0	13	5	2	0	1	15	0	5	4	0	4	14	0	9	0	5	16	0	3	16	0	1	11	4	7	12	4	12	2	15	3	0	0	2	1	16	2	3	2	16	1	3	5	15	13	0	5	0	4	9	0	7	16	0	8	14	1	8	0	9	8	6	6	1	6	15	6	0	13	11	14	7	2	8	10	0	0	12	6	4	6	16	4	4	5	0	16	7	11	0	11	4	0	0	0	14	2	4	11	6	3	5	0	3	12	8	1	4	8	1	6
Corserey	3	566	180	3	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	3	3	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	2	0	3	0	0	0	0	0	3	0	0	0	0	0	3	1	2	0	0	0	0	3	0	3	0	0	1	0	2	0	0	2	0	0	3	1	0	0	2	0	0	1	2	0	1	3	0	0	0	0	3	2	1	2	0	1	1	1	0	2	0	1	2	3	0	0	0	0	0	0	1	2	1	3	0	0	1	2	2	0	1	0	1	1	0	2	2	2	0	3	0	0	0	0	3	1	0	0	2	1	0	0	1	3	3	0	0	2	2	0	0	2	2	2	0	1	3	0	2	0	2	2	1	0	3	0	0	1	0	3	0	1	1	2	1	0	0	0	2	0	0	0	2	0	0
Corsier-sur-Vevey	11	554	147	11	0	0	0	0	8	0	7	0	1	8	0	2	0	0	0	11	8	4	5	5	0	6	5	10	0	4	5	6	2	5	2	4	5	6	4	11	0	0	2	1	3	11	3	7	0	0	2	10	1	11	0	2	3	0	0	11	9	4	1	8	0	6	5	0	11	1	2	9	7	0	0	0	11	0	2	4	1	4	8	0	8	0	5	11	0	0	11	0	1	10	2	6	6	2	7	0	10	1	0	0	3	0	10	1	2	2	11	0	1	2	11	9	0	3	0	1	5	0	7	11	1	8	11	0	6	0	10	8	5	5	0	4	10	3	0	8	11	11	4	4	4	5	0	0	8	3	0	2	11	6	5	5	0	10	2	8	1	4	6	0	0	1	8	3	2	3	2	5	2	0	1	7	4	0	2	2	1	3
Cortaillod	41	555	199	5	0	36	0	0	26	0	28	3	0	33	2	10	0	6	28	5	11	15	25	10	1	27	21	36	0	23	6	24	15	12	5	11	28	8	24	35	0	1	16	5	6	36	12	34	1	33	0	29	2	29	1	32	8	30	3	17	33	21	1	21	0	1	16	1	41	2	5	19	31	3	0	0	38	0	11	20	1	14	11	0	36	0	20	39	0	9	37	0	1	28	13	8	31	9	21	7	33	3	0	0	11	0	13	23	17	6	41	4	1	15	38	33	2	7	0	8	21	0	8	40	0	12	38	10	10	0	1	9	25	12	4	4	28	25	1	33	34	36	9	11	9	19	2	0	28	21	10	14	38	17	5	22	0	35	11	29	1	14	18	4	0	1	39	3	8	19	14	12	6	1	7	33	11	3	7	21	4	15
Cortébert	5	575	227	1	0	4	0	0	0	0	3	2	0	3	1	0	1	4	0	1	1	2	3	0	1	2	0	5	0	2	0	2	3	1	0	1	2	2	3	1	0	0	2	4	0	5	1	2	0	3	0	3	0	4	0	2	0	0	1	4	3	1	1	1	0	2	2	0	2	0	1	2	3	0	0	0	4	0	1	1	0	4	0	0	2	3	1	3	0	1	4	0	1	2	2	1	2	0	1	1	3	0	0	0	0	0	0	4	1	0	5	1	1	0	3	0	3	0	0	0	0	0	1	4	0	0	3	3	1	0	0	2	1	2	1	1	4	1	3	2	3	5	1	0	0	1	0	2	2	3	1	1	2	0	0	1	0	4	1	4	0	1	3	1	0	0	2	0	4	1	3	2	0	0	0	1	5	0	1	0	0	0
Cossonay	4	529	161	4	0	0	0	0	3	0	3	0	0	2	1	1	0	0	0	4	2	1	1	2	0	3	1	4	0	1	1	2	1	2	0	0	3	0	1	2	1	0	3	0	0	4	1	2	0	0	1	4	0	3	0	2	0	0	1	3	2	1	0	2	0	1	1	0	4	0	0	3	1	0	0	0	4	0	0	1	0	0	4	0	3	0	1	4	0	0	4	0	0	3	0	1	4	0	3	0	4	0	0	0	0	0	4	0	1	1	4	0	0	0	4	4	0	0	0	0	1	0	1	4	0	3	4	0	1	0	3	2	4	4	0	0	2	1	0	3	4	4	1	1	1	2	1	0	1	2	1	0	2	0	0	2	0	4	1	3	0	1	2	1	0	0	3	1	0	1	1	0	1	0	2	2	0	1	1	1	0	2
Cottens (FR)	1	569	178	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
Cottens (VD)	2	525	158	2	0	0	0	1	2	0	2	0	0	2	0	0	0	0	0	2	1	1	2	1	0	0	1	2	0	2	1	1	1	1	0	0	2	1	0	2	0	0	0	1	0	2	1	2	0	0	0	2	0	2	0	1	0	0	0	2	2	1	0	1	0	0	1	0	2	0	1	2	0	0	1	0	2	0	2	2	1	1	1	0	1	0	2	2	0	0	2	0	0	1	0	1	2	1	1	0	2	0	0	0	0	0	2	0	1	0	2	0	0	2	1	2	0	0	0	0	0	0	2	2	0	2	2	0	0	0	1	2	1	0	0	0	2	1	0	2	1	1	2	2	0	0	1	0	2	1	1	1	2	2	1	1	0	2	0	2	0	2	0	0	0	1	2	1	1	1	0	1	0	0	1	0	1	1	0	2	0	1
Courchapoix	4	601	244	0	0	4	0	2	1	0	4	0	0	4	1	1	0	3	0	1	0	3	3	0	0	3	3	4	0	3	0	3	3	2	0	1	3	1	3	1	0	0	0	4	1	4	0	3	0	0	0	4	1	3	3	1	0	4	0	0	3	2	0	4	0	0	3	0	4	0	0	1	2	2	0	0	4	2	1	1	0	2	0	1	4	4	1	4	0	3	1	0	0	4	1	0	4	1	3	1	3	0	0	0	1	0	1	3	1	1	2	4	0	4	4	3	3	0	0	0	4	0	0	4	0	1	4	1	1	0	0	0	3	3	1	0	1	4	4	3	2	4	3	1	1	0	0	3	3	3	1	1	4	2	0	2	0	4	0	4	0	0	4	0	0	0	4	0	0	3	0	3	1	0	0	3	2	1	2	2	0	2
Courchavon	2	571	255	0	0	2	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	1	1	0	0	2	0	2	0	1	0	1	0	1	0	0	1	0	2	0	0	0	1	2	1	1	0	2	0	0	0	2	0	1	1	1	0	2	0	0	1	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2	1	1	2	0	2	0	0	0	2	0	0	2	0	0	0	2	1	0	0	0	0	0	1	1	1	2	0	0	2	2	1	2	0	0	1	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	2	0	0	0	0	1	1	1	1	1	2	2	0	0	0	2	0	1	0	0	2	0	0	0	2	0	0	2	0	0	0	0	1	2	0	0	0	2	0	1
Courgenay	15	576	250	1	0	14	0	11	4	0	13	0	0	14	1	6	1	15	0	0	0	11	13	2	1	7	5	15	0	6	5	7	4	7	0	4	6	2	13	2	0	0	6	15	4	14	2	14	1	0	1	15	0	12	5	3	7	15	0	1	10	6	0	15	0	3	11	0	14	3	1	2	13	5	0	0	14	9	9	6	0	9	0	5	13	13	9	13	0	14	6	0	0	11	4	3	12	8	9	3	11	3	0	0	5	0	0	14	5	2	12	5	1	13	14	11	6	0	0	3	12	0	6	15	0	0	14	0	8	1	0	2	8	6	3	0	8	7	9	13	12	12	6	9	5	1	0	12	9	12	8	8	14	11	0	6	0	14	0	15	0	4	10	1	0	1	15	0	2	8	6	4	5	0	2	7	1	3	5	9	1	10
Courgevaux	6	575	195	6	0	0	0	0	2	0	5	4	0	5	0	1	0	0	0	6	1	3	4	1	0	4	0	6	0	3	0	2	2	2	1	0	2	4	5	6	0	0	3	0	0	6	0	3	1	0	0	6	4	2	0	1	1	0	6	0	4	1	0	3	0	5	1	0	6	0	2	5	2	0	0	0	6	0	3	1	0	2	5	0	5	0	1	6	0	0	6	0	0	4	0	2	4	0	5	0	6	1	0	0	1	0	4	1	2	0	4	5	1	1	5	6	0	0	0	1	1	0	1	5	0	0	6	0	1	0	0	6	3	1	0	2	4	3	0	6	4	6	2	2	1	3	1	0	4	4	2	1	4	4	0	2	0	6	2	4	0	2	3	0	0	0	6	0	1	6	4	1	0	0	2	5	1	2	2	3	0	3
Courrendlin	31	596	243	2	0	29	1	14	1	0	28	4	1	24	1	10	0	30	0	1	4	16	18	4	0	18	5	31	1	19	3	16	9	10	2	4	17	7	23	5	0	0	11	30	7	31	3	19	3	3	0	30	2	20	14	14	9	29	1	4	25	8	0	21	0	2	11	0	30	1	2	7	24	6	0	3	26	12	11	5	0	20	1	2	21	28	13	25	0	25	9	0	0	21	7	5	19	10	14	5	20	2	0	0	10	1	5	21	11	2	16	26	2	14	26	23	17	0	0	4	13	0	2	30	0	4	27	2	9	0	1	5	14	14	2	3	11	17	19	22	23	29	9	1	11	0	0	21	21	17	6	5	28	11	0	10	1	25	3	27	0	7	18	3	0	1	28	0	2	19	9	9	9	0	7	19	12	1	2	21	2	8
Courroux	24	597	246	0	0	24	0	11	1	0	20	1	0	21	2	5	0	24	0	0	2	12	17	2	0	17	7	22	0	13	1	11	3	7	0	5	14	3	16	3	0	0	6	24	1	22	2	17	2	1	0	24	0	13	14	11	0	24	0	1	18	3	0	15	1	1	9	0	22	0	2	2	18	6	0	1	23	6	5	6	0	12	0	2	21	19	9	20	0	18	7	0	0	19	3	2	13	3	8	3	16	5	0	0	8	0	0	20	10	2	18	15	0	12	20	17	10	0	1	1	9	0	4	24	0	1	23	2	2	0	2	2	6	4	4	0	7	18	15	16	15	22	6	2	3	0	0	17	18	12	4	5	20	5	1	5	0	24	1	22	0	7	12	1	0	0	24	0	0	16	11	6	4	0	3	15	7	3	1	12	0	8
Court	14	592	232	0	0	14	0	0	0	0	12	4	0	11	0	3	0	14	0	0	3	8	8	3	0	7	2	13	0	8	1	5	11	4	0	2	2	3	9	1	0	0	4	14	1	14	1	7	0	3	0	13	0	7	4	9	2	0	0	14	10	2	0	8	0	1	5	0	14	0	0	3	11	2	0	0	13	2	3	4	0	10	0	0	9	10	5	11	0	10	6	0	0	10	6	1	10	3	6	2	10	0	0	0	3	0	0	11	2	0	7	11	0	5	11	9	8	0	0	1	7	0	4	14	0	2	11	7	4	0	3	1	5	6	0	0	5	8	9	6	9	13	3	0	3	1	0	6	10	10	2	1	9	2	0	4	0	14	3	12	0	6	4	2	0	0	12	0	2	7	7	3	1	0	3	10	3	1	2	7	0	1
Courtedoux	9	570	251	0	0	9	0	6	1	0	7	0	0	8	0	1	1	9	0	0	0	6	7	2	0	4	1	9	0	4	0	3	2	4	0	3	3	1	6	0	0	0	1	9	2	8	0	5	0	0	0	9	0	6	4	3	2	9	0	0	5	0	0	7	0	1	7	0	8	0	1	0	7	3	0	1	8	3	6	4	0	6	0	1	5	5	4	6	0	9	3	0	0	6	1	2	6	4	3	2	7	1	0	0	1	0	1	9	2	2	9	3	0	5	9	5	3	0	0	2	4	0	1	8	0	0	9	0	2	0	0	0	3	2	2	0	1	8	4	7	5	8	1	1	4	1	0	4	7	2	3	2	8	3	0	2	0	9	0	9	0	3	6	0	0	0	9	0	0	3	4	3	1	0	1	6	0	2	1	5	1	4
Courtelary	18	572	226	1	0	17	0	0	2	0	16	12	0	11	0	9	0	17	0	1	4	7	13	2	0	10	3	16	0	10	1	4	9	8	1	3	7	1	13	5	0	0	7	18	4	18	6	13	0	6	0	16	1	14	0	8	6	2	0	17	16	10	2	12	0	0	9	1	18	1	1	10	17	4	0	0	17	2	11	11	0	12	3	0	17	11	7	17	0	2	18	0	0	10	5	3	16	3	9	2	14	1	0	0	5	0	6	9	7	3	17	9	1	7	15	15	9	1	0	3	10	0	4	18	0	6	18	7	7	0	1	2	10	5	3	2	10	10	4	13	16	17	5	4	5	1	0	14	14	8	7	6	15	9	1	6	0	17	5	16	0	9	6	2	0	0	16	0	3	8	5	5	5	1	5	14	5	1	1	6	0	5
Courtepin	36	576	191	36	0	0	0	0	7	0	25	25	0	29	7	5	0	0	0	36	22	6	20	6	2	21	2	36	0	21	8	15	23	9	15	4	15	13	24	35	0	0	14	4	7	35	7	23	2	2	2	36	32	13	0	5	5	0	35	1	28	5	0	26	0	27	13	0	35	13	6	33	17	3	0	6	29	0	16	18	0	20	30	0	21	2	14	35	8	4	35	0	1	25	2	10	29	4	28	15	23	1	0	0	7	3	4	8	21	8	30	9	1	10	34	29	1	3	0	5	20	0	11	36	14	13	32	0	8	1	8	24	16	10	2	5	20	19	1	29	27	32	14	5	16	27	1	0	24	19	10	8	28	20	3	8	0	32	13	25	1	17	16	2	0	1	30	0	10	31	11	6	12	0	6	25	5	4	10	18	4	13
Courtételle	27	591	243	0	0	27	0	8	1	0	25	2	0	24	4	5	0	26	0	1	4	11	18	4	0	14	7	26	0	12	1	13	6	3	2	9	14	3	18	2	0	0	5	27	6	27	1	15	1	1	0	26	1	17	11	10	1	24	2	3	24	7	0	19	0	2	15	0	27	0	2	3	23	5	0	0	25	14	8	7	0	17	2	6	24	22	9	22	1	23	7	0	0	21	7	3	19	9	12	3	20	3	0	0	6	0	4	19	7	4	15	19	0	13	24	23	13	1	0	4	9	0	2	26	0	1	26	1	8	0	3	3	7	10	3	2	4	17	15	15	19	25	15	2	10	1	0	19	16	16	7	5	24	11	1	10	0	23	4	25	0	10	15	0	0	1	26	0	1	17	11	7	7	0	4	18	8	1	7	9	1	8
